ID,Tok Pisin,English
286,snek,snake
287,spun,spoon
288,tiket,ticket
289,pinga bilong fut/lek,toe
290,tang,tongue
291,trausis,trousers
292,ambrela,umbrella
293,windo,window
294,han bilong pisin,wing
295,bruk,broken
296,braun | braunpela,brown
297,i no dia,cheap
298,luluai,chief
299,lektrik,electric
300,gre,grey
301,amamas | hamamas,happy
302,i bikpela samting,important
303,marit,married
304,samting tru,natural
305,tambu long olgeta,private
306,sap | sappela,sharp
307,swit,sweet
308,i gat wara | wet,wet
309,brait,wide
310,yelo | yelopela,yellow
311,i na slip,awake
312,i dai pinis,dead
313,narapela kain,different
314,doti,dirty
315,i no brait,narrow
316,bilong olgeta man na meri,public
317,tok hait,secret
318,malmalum,soft
319,bun nating,thin
320,kranki,wrong
321,Epril,April
322,Ogas,August
323,Austrelia,Australia
324,Baibel,Bible
325,kumul,Bird of Paradise
326,Bipi,Burns Philp
327,Katolik,Catholic
328,kristen,Christian
329,kokakola | kouk,Coca-Cola
330,Desemba,December
331,Ista,Easter
332,Inglis,English
333,mastamisis | ol waitman,Europeans
334,Februeri,February
335,OPM | Organisasi Papua Merdeka,Free West Papua movement
336,Fraide,Friday
337,mal,G-string | man's bark type or G-string
338,Jemeni,Germany
339,God | Got,God
340,Haus Palamen,House of Parliament
341,mi wanpela,I alone
342,mi laikim yu tru,I love you
343,mi yet,I myself
344,Janueri,January
345,Julai,July
346,Jun,June
347,luteran,Lutheran
348,laulau,Malay apple
349,ailan Manam,Manam Island
350,Mas,March
351,Mande,Monday
352,Novemba,November
353,Oktoba,October
354,piemvi,PMV
355,tok pisin,Pidgin language
356,Prai Minista,Prime Minister
357,Kwantas,Qantas (airline)
358,Sarere,Saturday
359,riva Sepik | wara Sepik,Sepik River
360,Septemba,September
361,seven de,Seventh Day Adventist
362,Sikismail,Sixmile
363,saut,South
364,Stimsip,Steamships
365,Sande,Sunday
366,T-siot,T-shirt
367,Fonde,Thursday
368,Tunde,Tuesday
369,Trinde,Wednesday
370,kilim pikinini long bel | rausim bel,"abort, have abortion"
371,nabaut (long),about (a place) (round)
372,samting,"about, approximately | substance | thing | approximately"
373,akselareta,accelerator
374,tupela i bam,accident
375,sutim long tok,accuse (someone)
376,poro | poroman,acquaintance | friend
377,winim kot,acquitted
378,adres,address
379,adresim,address (letter)
380,plasta,adhesive/sticking plaster
381,bikpela man,adult
382,toksave,advertisement | notice | information | explain
383,leta pas,aerogramme
384,pret,afraid | frightened
385,i go long,against | against
386,man bilong pait,aggressive person | warrior
387,yesa,agree
388,didiman,agricultural officer
389,win masin,air conditioner
390,mel long balus,air mail
391,epot | ples balus,airport
392,i gat laip,alive
393,kainkain,all sorts of | various kinds of
394,wanpela tasol,alone
395,yet,already | still (adv) | yet
396,tu,also | two | too
397,alta | tebol tambu,altar
398,laplap bilong alta,altar cloth
399,karamapim tok,"ambiguous (be) | deceive | vague, be tok"
400,tumbuna,ancestors | grandparent(s)
401,anka,anchor
402,ensel,angel
403,krosim,"angry with, be | scold"
404,hambak,annoy
405,katim maritnarakain,annul a marriage
406,narakain,another one (different) | different
407,narapela,another one (more) | other
408,bekim tok,answer | reply
409,marasin bilong kilim jem | marasin bilong klinim sua,antiseptic
410,abrus long; longwe liklik long,apart from
411,rum,apartment | room
412,sanap long kot,appear in court
413,samting olsem,approximately
414,Hap,"area, place"
415,buai,areca nut
416,limbum | limbung,areca palm
417,paspas bilong han,arm band
418,han,arm | hand
419,han antap,"arm, upper"
420,nabaut,around
421,kamap long,arrive
422,supia bilong banara,arrow
423,supia I gat huk,"arrow or spear, barbed"
424,supsup bilong banara,"arrow, pronged"
425,haus tambaran,art gallery | art gallery | spirit house
426,samting tumbuna,art | art
427,man i wokim,artificial
428,longpela olsem,as long as
429,stret long taim,as soon as | just when
430,go antap,ascend | go up | rise
431,sit bilong paia,ash(es)
432,bikmama | smolmama,"aunt, paternal"
433,kandere,"aunt, paternal | uncle, maternal"
434,abrusim,"avoid | pass, overtake"
435,akis,axe
436,pikinini i dring susu yet,baby not yet weaned
437,bukumatula,bachelor house (Trobriand Islands)
438,baksait,back (rear)
439,bekbun,backbone
440,long bek,backwards
441,ples nogut,bad place | dangerous place
442,nogut,"bad | useless, no good"
443,bek,bag (n) | back (again)
444,hansapim,"bail up, hold up"
445,kukim bret,bake bread
446,pen bolpoin or biro,ballpoint
447,mambu,bamboo pipe | bamboo
448,ol pikinini mambu,bamboo shoots
449,banana,banana
450,pasim sua,bandage a wound
451,mumut,bandicoot
452,beng,bank
453,haus mani,bank (n)
454,baptaisim,baptize
455,ba,bar
456,kukim long paia,barbecue
457,blakpela sos,barbecue sauce | soya sauce
458,baman,"barman, bartender"
459,waswas,"bathe | shower (n) | wash, bathe"
460,ples waswas | rum bilong waswas,bathroom
461,bateri,battery
462,stap,be in a place | exist | live (reside) | is
463,bis,beads
464,ol bin,beans
465,gras usket,beard
466,mausgras,beard | catfish | moustache
467,tapa,beaten dark cloth
468,bilong wanem,because | why
469,rum slip,bedroom
470,abus bulmakau,beef
471,bia,beer
472,bipo long taim,before (time)
473,bipo,before | former | formerly
474,kirapim,"begin | get someone up from bed | establish | found, establish | open (new business)"
475,stap gut | stap isi ,behave oneself
476,bel,belly
477,let,belt
478,paspas bilong bel,"belt | stomach band, belt"
479,krungutim,bend (something) | crumple (something)
480,arere long,beside
481,daka,betel pepper | pepper
482,buai ,betelnut
483,bilinat | bitolnat,betelnut | areca nut
484,buk tambu,bible
485,wilwil,bicycle
486,bil,bill
487,glas bilong kapten,binoculars
488,pisin,"bird | totem, clan"
489,bisket,biscuit
490,brukim/katim lo,bite off
491,kaikaim,bite | eat
492,em i pait,"bitter, strong"
493,"wailimbung,wailimbum",black palm
494,blanket,blanket
495,blut i kamap,bleed
496,aipas,blind
497,matakiau,blind in one eye
498,wanblut,blood relative
499,winim bugol,blow bugle
500,mekim i masis,blow out a match
501,kalap long PM,board a PMV
502,litimapim em yet,"boastful, proud"
503,boskru,boat's crew | sailor(s)
504,skin,body | skin | bark
505,boilim,boil (something)
506,buk,"boil, swelling, lump | book"
507,i bin boilim,boiled
508,boil,"boiling, be"
509,buksop,bookshop
510,bikpela su,boot (n)
511,mama i karim,born
512,dinau,borrow | debt
513,bos,boss
514,tupela su,both shoes
515,op tin,bottle opener | tin opener
516,banara,bow
517,banaras,bows and arrows
518,rop bilong banara,bowstring
519,bokis,"box (n) | genitals | female genitals | case, suitcases"
520,boipren,boyfriend
521,brek,brake(s)
522,han bilong diwai,branch of tree
523,banis bilong susu,"brassiere, bra"
524,i no save pret,brave
525,bret,bread | loaf of bread
526,kapiak,breadfruit
527,brukim promis/tok,break  word
528,bagarap,break down | worn out | accident
529,brukim namel,"break in halves, divide in two"
530,brukim lo,break the law
531,kaikai long moning,breakfast
532,win,breath | air (n) | wind
533,pulim win,breathe
534,bris,bridge | wharf
535,kisim . . . i kam,bring | fetch
536,bringim,bring | take
537,haus pamuk,brothel
538,bratasusa,brothers and sisters | siblings
539,brus,brush | tobacco
540,abababa,bubble gum
541,kiau,"bulb, light globe | egg"
542,pokona | skweamit,bullybeef
543,bamim,bump
544,arse tanket,bunch of tanket leaves stuck into a belt to cover a man's backside
545,arse gras,bunch of tanket leaves stuck into a belt to cover a man's backside (Highlands)
546,karamap,bundle | parcel
547,paia,burn | fire
548,bas,bus
549,PMV,bus | public transport
550,welpig,"bush Pig, wild pig"
551,busnaip,bush knife
552,buskanaka,bush villager
553,man bisnis,businessman
554,wok long,busy (doing something)
555,kil bilong diwai,buttress root | tap root
556,baim,buy | rent | pay for
557,kabis,cabbage
558,kek,cake | pastry
559,kalenda,calendar
560,baksait bilong lek,calf of leg
561,singautim,call (something or someone)
562,ring long telipon,call (telephone)
563,singaut,call out
564,nem bilong . . . i,"called, is"
565,inap; ken,"can, could"
566,tin,"can, tin | tin"
567,kandel,candle
568,kanda,cane
569,kanu,canoe
570,pul bilong kanu,canoe paddle
571,bet sel,canvas stretcher
572,kapten,captain (of a ship)
573,kabureta,carburetor
574,kas,cards | luck
575,lukaut long,"careful of, be"
576,isi isi,carefully
577,kago,cargo | goods | baggage
578,mat or tepik,carpet
579,karet,carrot
580,katen,carton | cotton
581,sapim,carve (canoe)
582,kes | sutkes,"case, suitcases"
583,kasava,cassava
584,tapiok,cassava | tapioca
585,kaset,cassette
586,muruk,cassowary
587,benetii,cassowary (New Britain); see also Muruk
588,kaswel,castor oil
589,baim bas,catch a bus
590,hukim pis,catch fish
591,bulmakau | kau,cattle | beef
592,as,"cause | anus | buttock | base, basis | origin | posterior part"
593,mekim Misa,celebrate Mass
594,sentimita,centimetre
595,handet yia,century
596,tee,ceremony surrounding the giving away of goods to display one's wealth (Enga)
597,moga,ceremony surrounding the giving away of goods to display one's wealth (Highlands)
598,orait orait,certainly
599,sea | sia,chair | seat
600,senis,change (small money)
601,senisim,change (transport) | change money (from notes to coins)
602,tanim mani,change money (from one currency to another)
603,sas | sasim,charge
604,ranim,chase
605,sikirapim tok,chatter
606,kai bar | kaibar,cheap takeaway food bar
607,sikibaga,cheeky person | annoying person
608,sirsen,cherry
609,bros,chest | brooch
610,pike,chewing gum
611,pikinini,child | baby
612,skin i kol,chill
613,sips,chips (Potato)
614,soklet,chocolate
615,braunpela loli,chocolate (candy)
616,kakaruk,"chook, fowl | fowl | chicken"
617,kisim long laik,choose
618,katim long akis/tamiok,chop
619,sops,chops
620,sopstik,chopsticks
621,Ekelesia,church members
622,man bilong lotu,churchgoer
623,sigaret,cigarettes
624,rot bilong blut,circulatory system
625,bisnis,clan | moiety
626,famili,clan | moiety | family
627,lain,clan | moiety | queue | group | line | learn about | family
628,graun bilong wokim sospen | graun malomalo,clay
629,sospen graun,clay pot n
630,klinim,clean (vb)
631,klirim tebol,clear the table
632,klia,clear | empty
633,ples klia,clearing | empty space
634,kuskus,clerk
635,kilok,clock | heart
636,belo bilong klok,clock's alarm
637,i pas,closed
638,klos,clothes
639,klab; stik bilong pait,club
640,klats,clutch
641,man bilong nambis,coastal man
642,kot,coat | courtyard | court
643,koki,cockatoo
644,kakao,cocoa
645,kokonas,coconut
646,susu o gris bilong kokonas,coconut cream
647,bombom | bumbum,coconut frond
648,wara bilong kokonas,"coconut milk, coconut water"
649,sel bilong kokonas,coconut shell
650,kopi,coffee
651,mani ain,coin
652,taim bilong kol,cold season (winter)
653,kus,"cold, have a | have a cold"
654,plaua bilong kakaruk,comb of chicken/rooster
655,kamaut,come out
656,kam hariap,come quickly
657,kamap,come up | become | arrive
658,kam,come | shell as penis covering
659,gut moa,comfortable
660,bilong bisnis,commercial
661,kampani,company (firm)
