daiman,"dead person, the dead"
daimen,diamond
daka,betel pepper
danis,dance (modern style)
das,dust
daun,low
"daun, tamblo, tambolo",down
daunim,overcome
daunpasin,humility
de,day
de bilong malolo,day off
de bilong wok,workday
"dentis, dokta bilong tit, dokta lukautim tit",dentist
Desemba,December
dewel,devil
dewel bilong man i dai,ghost (of dead person)
"dewel, dewel bilong man",shadow
dia,dear (expensive)
dia,expensive
didiman,agricultural officer
digim,dig
digim hul,make hole in ground
dilim,portion out
dinau,borrow
dinau,debt
dis,dish
dis bilong waswas,washbasin
disaipel,disciple
dispela taim,then (at that time)
"dispela, ya",this
distrik,district
diwai,pole
diwai,tree
diwai,wood (timber)
diwai kros,cross
doba,leaf
dok,dog
dokta,doctor
dokta,"medical assistant, doctor"
doti,dirty
drai,heal (of sore)
"drai, draipela",dry
draibisket,dry biscuit
draibisket,cracker
draiva,driver
draivim,drive (vb)
dring,drink (n)
dringim,drink (vb)
"dripman, welman",vagrant
"dripman, welman",squatter
dua,door
dua i go ausait,exit (n)
dukduk,ritual costume representing a spirit
echidna,spiny anteater
edukeitim,educate
Ekelesia,church members
eksospaip,exhaust pipe
"elektrik, elektrisiti, pawa",electricity
em,he
em,it
em,she
em i pait,"bitter, strong"
em i tru,"fact, in"
em nau!,great! fantastic!; literally 'him now!'
em tasol,that's all
emtripela,those (three)
emtupela,those (two)
ensel,angel
ensin,engine
Epril,April
"et, etpela",eight
fail,file
"faiv, faipela",five
fatwel,"fat (for greasing body) , oil"
fe,fare
Februeri,February
fiftifaiv,fifty-five
"fiksim, piksim",fix
"filim, pilim",feel
"fo, foa, fopela",four
Fonde,Thursday
fotnait,fortnight
"foto, poto, piksa",photo
fowil draiv,four-wheel drive
Fraide,Friday
fran,front
gaden,garden
gaden bilas,park (n)
galen,gallon
galip,nuts
"gamtri, kamarere","eucalyptus tree, gum tree"
garamut,slitgong
gat,got
gat,have
gat dinau,owe
gavman,government
"gel, meri",girl
gen,again
giabokis,gearbox
giaman,false
giaman,joke
giaman,lie (n)
giamanim,lie to
giamanim,"tell lies to, fool"
giram,gram
givim,give
givim kis,kiss (vb)
"givim stori, ripotim",report
glaman,"kid, joke"
glas,glass (substance)
glas,glass (container)
glas bilong kapten,binoculars
glas bilong lukluk,mirror
glasim,take temperature
go,go
go antap,ascend
go antap,go up
go antap,rise
"go bek, kambek, kam bek",return
go daun,go down
go long hap long,cross (vb)
go long skul,go to school
go lukim,visit
go pas long,lead (vb)
"God, Got",God
godaun tru,deep
gohet,go ahead
gol,gold
"golo, lam","globe, bulb"
"gorgor, kawawar",ginger
gras,fur
gras,grass
gras bilong ai,"eyebrow, eyelash"
gras bilong dok,fur (of dog)
gras bilong pisin,feather
gras bilong sipsip,wool
gras nogut,weed(s)
"gras usket, mausgras",beard
"gras, gras bilong het",hair
graun,ground
graun,earth
graun,world
"graun, graun malomalo, graun bilong wokim sospen",clay
gre,grey
"grile, skin pukpuk",ringworm
"grile, skin pukpuk",tinea
grileglas,frosted glass
"grin, grinpela",green
gris,ointment
gris,fat
gris bilong bulmakau,dripping
gris bilong pik,lard
gro,grow
"guava, yambo",guava
"gude, yu stap",good day
gumi,inner tube
gumi bilong kok,"condom, contraceptive for males"
guria,earthquake
gut,well (adv)
gut,kind (friendly)
gut moa,comfortable
gut nait,good night
gut tumas,great
"gut, gutpela",good
gutpela taim,peace
haibica,stringy silverbeet-like vegetable
"haisapim, apim, winsim","hoist, lift up"
haiskul,high school
haitim,conceal
haiwara,high tide
haiwe,highway
"halivim, helpim",help
"hallans, hailens",highlands
halo,hello
"hama, hamarim",hammer
hamamas tru,enjoy
hamas,quantity
hamas,how much/many
hamas krismas yu gat?,how old are you?
hambak,annoy
hambakim,tease
hambakman,nuisance
"hambakman, sikibaga",cheeky person
"hambakman, sikibaga",annoying person
han,arm
han,hand
han (bilong pik),foreleg (of pig))
han antap,"arm, upper"
